"ActivityDT","ActivityActivity","SourceHost","SourceDatabase","SourceTable"
"01/01/2007",51,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/01/2008",43,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/01/2009",47,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/01/2010",59,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/01/2011",80,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/01/2012",31,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/01/2013",64,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/01/2014",83,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/01/2015",60,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/01/2016",73,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/01/2017",48,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2007",97,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2008",120,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2009",80,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2010",101,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2011",146,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2012",146,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2013",104,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2014",65,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2015",57,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2016",74,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/02/2017",98,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/03/2007",83,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
