"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/01/2007",256,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/01/2008",360,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/01/2009",437,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/01/2010",617,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/01/2011",628,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/01/2012",431,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/01/2013",988,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/01/2014",921,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/01/2015",733,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/01/2016",935,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/01/2017",645,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2007",630,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2008",1115,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2009",661,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2010",1093,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2011",1443,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2012",1470,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2013",1637,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2014",831,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2015",707,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2016",1454,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/02/2017",1571,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2007",739,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2008",895,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2009",434,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2010",1317,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2011",1595,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2012",1780,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2013",2087,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2014",1097,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2015",777,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2016",1437,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/03/2017",1448,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2007",412,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2008",1278,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2009",1270,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2010",1311,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2011",1338,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2012",621,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2013",891,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2014",1232,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2015",1616,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2016",1644,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/04/2017",902,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/05/2007",878,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
"01/05/2008",1408,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_Transaction"
