"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/01/2009",13293,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/01/2010",15890,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/01/2011",18017,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/01/2012",17622,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/01/2013",21637,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/01/2014",29765,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/01/2015",32370,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/01/2016",26896,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/01/2017",36512,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/01/2018",36371,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/02/2009",12704,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/02/2010",16982,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/02/2011",15720,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/02/2012",19054,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/02/2013",30199,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/02/2014",36033,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/02/2015",38392,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/02/2016",41096,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/02/2017",42641,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/02/2018",47503,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/03/2009",14017,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/03/2010",16829,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/03/2011",14304,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/03/2012",18822,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/03/2013",31662,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/03/2014",33509,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/03/2015",32355,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/03/2016",37769,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/03/2017",46845,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/03/2018",46387,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/04/2009",10822,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/04/2010",16599,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/04/2011",18413,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/04/2012",17792,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/04/2013",23720,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/04/2014",37354,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/04/2015",40299,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/04/2016",46566,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/04/2017",41138,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/04/2018",31251,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
"01/05/2009",12231,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtAssessment"
