"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/01/2014",8,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/01/2016",7,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/01/2018",10,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/02/2014",8,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/02/2016",8,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/02/2017",46,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/02/2018",20,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/03/2012",8,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/03/2014",10,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/03/2016",19,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/03/2017",72,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/03/2018",25,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/04/2013",23,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/04/2018",10,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/05/2013",13,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/05/2017",14,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/05/2018",25,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/06/2016",16,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/06/2017",41,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/06/2018",30,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/07/2013",25,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/07/2016",8,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/07/2017",46,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/07/2018",25,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/08/2013",17,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/08/2015",10,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/08/2016",20,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/08/2017",25,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/09/2012",8,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/09/2015",10,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/09/2016",36,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/09/2017",30,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/10/2012",9,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/10/2013",10,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/10/2014",11,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/10/2016",20,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/11/2012",15,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/11/2015",11,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/11/2016",33,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/12/2012",10,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/12/2014",20,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
"01/12/2016",46,"oxnetdwp01.oxnet.nhs.uk","CIS_ReportingDB","PtOrder"
