"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
01/01/2013,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/01/2014,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/01/2015,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/02/2016,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/03/2014,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/03/2015,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/03/2016,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/04/2013,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/04/2014,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/04/2015,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/04/2016,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/05/2013,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/05/2014,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/06/2013,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/06/2014,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/06/2015,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/06/2016,6,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/07/2014,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/07/2015,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/07/2016,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/08/2013,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/08/2014,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/08/2015,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/08/2016,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/09/2013,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/09/2014,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/09/2015,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/09/2016,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/10/2013,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/10/2014,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/10/2015,5,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/11/2012,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/11/2015,5,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/11/2016,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/12/2013,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/12/2014,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/12/2015,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
01/12/2016,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/01/2013,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/01/2014,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/01/2015,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/01/2016,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/02/2015,5,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/02/2016,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/03/2015,5,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/04/2013,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/04/2014,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/04/2015,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/04/2016,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/05/2013,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/05/2014,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/05/2015,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/05/2016,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/06/2013,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/06/2014,5,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/06/2015,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/06/2016,5,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/07/2013,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/07/2014,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/07/2015,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/08/2015,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/08/2016,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/09/2013,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/09/2014,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/09/2015,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/10/2013,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/10/2014,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/10/2016,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/11/2013,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/11/2014,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/11/2015,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/11/2016,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/12/2012,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/12/2013,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/12/2014,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
02/12/2015,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
03/01/2012,1,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
03/01/2013,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
03/01/2014,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
03/01/2016,2,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
03/02/2013,3,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
03/02/2014,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
03/02/2015,4,oxnetdwp01.oxnet.nhs.uk,Cardiac_Surveillance_ARCHIVE,surveillance
