"ActivityDT","ChartEvents","SourceHost","SourceDatabase","SourceTable"
"01/01/2000",13105,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/01/2001",14322,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/01/2002",13270,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/01/2003",16774,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/01/2004",18157,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/01/2005",14108,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/01/2006",12036,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/01/2007",13850,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/01/2008",14784,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/02/2000",12036,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/02/2001",13903,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/02/2002",16495,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/02/2003",17337,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/02/2004",16949,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/02/2005",14999,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/02/2006",14179,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/02/2007",13530,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/02/2008",16378,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/03/2000",8759,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/03/2001",13376,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/03/2002",13089,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/03/2003",14181,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/03/2004",14027,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/03/2005",16138,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/03/2006",15759,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/03/2007",15689,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/03/2008",19488,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/04/2000",12862,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/04/2001",9150,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/04/2002",14457,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/04/2003",17264,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/04/2004",20127,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/04/2005",16076,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/04/2006",14325,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/04/2007",11988,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/04/2008",13398,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/05/2000",11387,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/05/2001",13494,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/05/2002",14185,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/05/2003",14129,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/05/2004",18291,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/05/2005",11618,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/05/2006",16736,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/05/2007",15755,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
