"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/01/2000",594,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/01/2001",510,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/01/2002",529,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/01/2003",746,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/01/2004",710,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/01/2005",645,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/01/2006",664,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/01/2007",736,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/01/2008",855,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/02/2000",307,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/02/2001",469,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/02/2002",835,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/02/2003",870,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/02/2004",697,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/02/2005",694,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/02/2006",770,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/02/2007",685,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
"01/02/2008",721,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","MEDEVENTS"
