"ActivityDT","ClinicalEvent","SourceHost","SourceDatabase","SourceTable"
"01/01/1987",6,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/1994",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/1995",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/1996",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/1997",1,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/1998",236,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/1999",210,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2000",171,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2001",283,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2002",275,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2003",280,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2004",191,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2005",187,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2006",191,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2007",284,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2008",294,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2009",352,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2010",366,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2011",349,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2012",40,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2013",294,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2014",303,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/01/2015",340,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
