"ActivityDT","ClinicalEvent","SourceHost","SourceDatabase","SourceTable"
,82962,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2000",1,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2001",96,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2002",89,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2003",114,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2004",124,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2005",134,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2006",98,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2007",130,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2008",223,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2009",303,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2010",471,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/01/2011",471,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2000",8,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2001",420,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2002",389,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2003",152,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2004",122,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2005",709,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2006",814,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2007",799,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2008",883,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2009",197,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2010",1320,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/02/2011",1655,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2000",61,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2001",331,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2002",342,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2003",128,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2004",514,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2005",709,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2006",756,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2007",885,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2008",397,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2009",268,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2010",1518,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/03/2011",1534,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/1999",1,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2000",108,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2001",83,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2002",75,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2003",474,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2004",465,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2005",575,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2006",208,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2007",177,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2008",1042,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2009",1100,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2010",1354,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/04/2011",1506,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2000",92,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2001",408,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2002",428,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2003",437,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2004",115,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2005",137,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2006",162,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2007",893,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2008",1225,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2009",1117,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2010",477,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/05/2011",342,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2000",391,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2001",360,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2002",153,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2003",99,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2004",558,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2005",776,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2006",757,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2007",792,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2008",298,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2009",1083,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2010",1457,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/06/2011",1553,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/07/2000",124,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/07/2001",105,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
"01/07/2002",425,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","PATIENT_PROCEDURE"
