"ActivityDT","ClinicalEvent","SourceHost","SourceDatabase","SourceTable"
"01/01/1987",5,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/1997",3,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/1998",263,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/1999",239,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2000",200,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2001",315,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2002",316,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2003",344,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2004",253,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2005",238,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2006",231,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2007",326,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2008",359,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2009",425,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2010",399,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2011",433,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2012",268,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2013",370,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2014",360,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2015",423,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2016",349,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2017",411,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/01/2018",381,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/1991",2,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/1993",2,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/1997",15,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/1998",182,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/1999",555,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2000",523,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2001",516,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2002",507,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2003",327,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2004",265,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2005",708,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2006",687,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2007",655,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2008",696,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2009",262,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2010",886,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2011",909,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2012",327,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2013",754,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2014",369,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2015",331,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2016",878,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2017",869,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/02/2018",913,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/1991",2,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/1995",1,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/1997",220,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/1998",173,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/1999",544,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2000",518,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2001",499,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2002",498,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2003",319,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2004",642,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2005",687,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2006",654,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2007",697,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2008",391,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2009",276,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2010",931,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2011",897,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2012",322,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2013",755,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2014",406,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2015",352,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2016",926,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2017",876,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/03/2018",807,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/04/1991",1,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/04/1992",5,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/04/1995",2,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/04/1997",521,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/04/1998",461,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
"01/04/1999",74,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","WARD_STAY"
