"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
,122926,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"01/01/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"01/01/2014",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"01/05/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"01/10/2013",3,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"01/11/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"01/12/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"01/12/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/01/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/03/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/04/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/05/2013",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/06/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/08/2014",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/10/2014",3,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/11/2012",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/12/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/01/2013",3,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/02/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/03/2013",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/05/2013",8,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/07/2014",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/10/2012",8,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/10/2013",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/11/2013",4,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/12/2012",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/01/2013",5,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/03/2013",3,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/05/2013",8,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/06/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/06/2015",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/07/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/10/2012",9,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/12/2012",5,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/01/2013",3,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/01/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/02/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/03/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/04/2013",4,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/04/2015",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/05/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/07/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/07/2015",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/08/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/10/2012",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/10/2013",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/11/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/12/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"06/01/2015",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"06/07/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"06/11/2013",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"06/12/2012",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/02/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/02/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/03/2013",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/04/2013",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/05/2015",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/06/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/08/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/10/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/11/2012",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/11/2013",4,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/01/2015",3,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/03/2013",6,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/03/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/05/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/06/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/08/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/11/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/12/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/01/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/02/2014",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/03/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/07/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/08/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/09/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/10/2013",3,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/11/2012",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/12/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/03/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/06/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/07/2013",8,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/07/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/08/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/09/2013",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/09/2014",1,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/10/2013",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/10/2014",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/11/2013",2,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
