"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/07/2015",2378,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"01/08/2015",15616,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"01/09/2015",127554,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/07/2015",2697,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/08/2015",15624,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"02/09/2015",135439,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/07/2015",3127,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/08/2015",15918,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"03/09/2015",138614,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/06/2015",46,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/07/2015",3504,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/08/2015",16855,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"04/09/2015",135827,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/06/2015",46,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/07/2015",3588,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/08/2015",19555,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"05/09/2015",135158,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"06/06/2015",48,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"06/07/2015",4094,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"06/08/2015",23717,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"06/09/2015",128208,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/06/2015",48,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/07/2015",4326,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/08/2015",28651,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"07/09/2015",118411,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/06/2015",48,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/07/2015",5039,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/08/2015",31418,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"08/09/2015",121847,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/06/2015",48,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/07/2015",5440,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/08/2015",41707,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"09/09/2015",126944,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/06/2015",46,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/07/2015",5910,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/08/2015",61608,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"10/09/2015",135418,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"11/06/2015",46,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"11/07/2015",5928,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"11/08/2015",83907,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"11/09/2015",140988,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"12/06/2015",48,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"12/07/2015",6618,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"12/08/2015",108274,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"12/09/2015",140255,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"13/06/2015",70,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"13/07/2015",6648,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"13/08/2015",132384,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"13/09/2015",137616,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"14/06/2015",72,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"14/07/2015",6788,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"14/08/2015",150337,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"14/09/2015",136215,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"15/06/2015",72,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"15/07/2015",7378,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"15/08/2015",156632,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"15/09/2015",132406,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"16/06/2015",69,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"16/07/2015",8170,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"16/08/2015",152448,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"16/09/2015",130639,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"17/06/2015",164,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"17/07/2015",8769,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"17/08/2015",147716,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"17/09/2015",136229,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"18/06/2015",161,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"18/07/2015",9249,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"18/08/2015",144953,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"18/09/2015",145666,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"19/06/2015",161,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"19/07/2015",9804,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"19/08/2015",147802,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"19/09/2015",149290,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"20/06/2015",168,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"20/07/2015",9982,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"20/08/2015",149579,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"20/09/2015",139179,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"21/06/2015",168,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"21/07/2015",10426,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"21/08/2015",148759,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"21/09/2015",136027,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"22/06/2015",168,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"22/07/2015",11124,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"22/08/2015",147100,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"22/09/2015",143102,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"23/06/2015",168,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"23/07/2015",11796,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"23/08/2015",143094,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"23/09/2015",145155,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"24/02/2014",14,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"24/06/2015",175,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"24/07/2015",12394,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"24/08/2015",138243,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"24/09/2015",151189,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"25/02/2014",76,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"25/06/2015",607,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"25/07/2015",13109,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"25/08/2015",139393,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"25/09/2015",154626,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"26/06/2015",1028,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"26/07/2015",13334,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"26/08/2015",142979,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"26/09/2015",157752,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"27/06/2015",1279,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"27/07/2015",12267,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"27/08/2015",145960,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"27/09/2015",150266,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"28/06/2015",1344,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"28/07/2015",13773,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"28/08/2015",151230,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"28/09/2015",148103,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"29/06/2015",1553,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"29/07/2015",14669,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"29/08/2015",153286,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"29/09/2015",14992,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"30/06/2015",1872,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"30/07/2015",14952,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"30/08/2015",142822,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"31/07/2015",15412,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
"31/08/2015",136362,"oxnetdwp01.oxnet.nhs.uk","EpiCentre_EXTRACT","tblID"
