"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/01/2000",2,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2001",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2003",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2009",2,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2010",4,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2013",6,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2014",1645,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2015",1576,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2016",1450,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2017",1473,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2018",1721,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/01/2095",2,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/02/2012",2,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/02/2013",6282,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/02/2014",1616,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/02/2015",1391,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/02/2016",9758,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/02/2017",9113,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/02/2018",9138,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/03/2012",5,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/03/2013",6334,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/03/2014",1488,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/03/2015",1457,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/03/2016",8961,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/03/2017",8911,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/03/2018",8000,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/04/2011",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/04/2013",1590,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/04/2014",8108,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/04/2015",9018,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/04/2016",7309,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/04/2017",1692,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/04/2018",1876,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/05/2005",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/05/2012",4,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/05/2013",7345,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/05/2014",8291,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/05/2015",7012,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/05/2016",1512,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/05/2017",1673,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/05/2018",10677,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/05/2083",2,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/06/2012",3,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/06/2013",1501,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/06/2014",1644,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/06/2015",8487,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/06/2016",8355,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/06/2017",8522,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/06/2018",7765,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/07/2010",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/07/2013",7937,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/07/2014",8678,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/07/2015",8392,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/07/2016",7115,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/07/2017",1786,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/07/2018",1946,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/08/2004",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/08/2007",2,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/08/2008",2,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/08/2011",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/08/2012",4,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/08/2013",6982,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/08/2014",6304,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/08/2015",1609,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/08/2016",8404,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/08/2017",8878,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/09/2009",9,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/09/2010",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/09/2011",4,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/09/2013",1323,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/09/2014",8454,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/09/2015",9636,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/09/2016",8364,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/09/2017",7618,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/10/2009",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/10/2012",8,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/10/2013",8139,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/10/2014",8652,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/10/2015",7739,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/10/2016",1560,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/10/2017",1633,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/11/2004",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/11/2010",1,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/11/2012",10,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/11/2013",6167,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/11/2014",1535,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/11/2015",1608,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/11/2016",8987,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
"01/11/2017",9295,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requests"
