"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/01/2016",1539,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/01/2017",1640,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/01/2018",1795,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/02/2016",1965,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/02/2017",2276,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/02/2018",2213,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/03/2016",1760,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/03/2017",2201,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/03/2018",2077,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/04/2016",2097,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/04/2017",1846,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/04/2018",1765,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/05/2016",1580,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/05/2017",1617,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/05/2018",2218,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/06/2016",2052,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/06/2017",2269,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/07/2016",1931,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/07/2017",1756,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/08/2016",1755,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/08/2017",1911,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/09/2016",2038,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/09/2017",1771,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/10/2016",174,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/10/2017",4794,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/11/2016",2119,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/11/2017",3944,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
"01/12/2016",2183,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","requestspoct"
