"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/01/2010",2,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/01/2014",2504,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/01/2015",2482,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/01/2016",2311,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/01/2017",2271,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/01/2018",2790,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/02/2013",12323,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/02/2014",3734,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/02/2015",2561,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/02/2016",12500,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/02/2017",15081,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/02/2018",14756,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/03/2013",12416,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/03/2014",3508,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/03/2015",2703,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/03/2016",16555,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/03/2017",15650,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/03/2018",14199,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/04/2013",2522,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/04/2014",13863,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/04/2015",15312,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/04/2016",14276,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/04/2017",3454,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/04/2018",2547,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/05/2013",13866,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/05/2014",13014,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/05/2015",14966,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/05/2016",2371,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/05/2017",2946,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/05/2018",16114,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/06/2013",2550,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/06/2014",2495,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/06/2015",11861,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/06/2016",13288,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/06/2017",13545,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/06/2018",14665,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/07/2013",11120,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/07/2014",13073,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/07/2015",14245,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/07/2016",14469,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/07/2017",4194,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/07/2018",2835,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/08/2013",12173,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/08/2014",13516,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/08/2015",2861,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/08/2016",12205,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/08/2017",14331,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/09/2013",2063,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/09/2014",10068,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/09/2015",11057,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/09/2016",13785,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/09/2017",14442,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/10/2013",13100,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/10/2014",13708,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/10/2015",13121,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/10/2016",3493,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/10/2017",2746,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/11/2013",11445,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/11/2014",2673,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/11/2015",2823,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/11/2016",15658,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/11/2017",15073,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/12/2013",2460,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/12/2014",12520,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/12/2015",13053,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/12/2016",14269,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"01/12/2017",13943,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/01/2010",3,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/01/2014",10340,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/01/2015",9929,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/01/2016",2673,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/01/2017",2728,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/01/2018",11467,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/02/2013",3011,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/02/2014",2633,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/02/2015",12104,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/02/2016",14616,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/02/2017",16783,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/02/2018",17228,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/03/2013",3515,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/03/2014",2364,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/03/2015",10951,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/03/2016",15386,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/03/2017",15807,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/03/2018",13819,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/04/2013",11461,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/04/2014",14044,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/04/2015",15867,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/04/2016",3053,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/04/2017",2582,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/04/2018",2866,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/05/2013",11977,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/05/2014",13137,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/05/2015",3388,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/05/2016",2770,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/05/2017",13626,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/05/2018",15729,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/06/2013",2069,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/06/2014",11232,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/06/2015",15335,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/06/2016",13977,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/06/2017",13688,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/06/2018",2976,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
"02/07/2013",12785,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","sets"
