"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/01/2016",1546,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/01/2017",1647,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/01/2018",1818,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/02/2016",1987,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/02/2017",2291,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/02/2018",2236,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/03/2016",1771,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/03/2017",2223,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/03/2018",2098,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/04/2016",2114,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/04/2017",1857,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/04/2018",1769,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/05/2016",1586,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/05/2017",1626,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/05/2018",2239,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/06/2016",2066,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/06/2017",2289,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/07/2016",1960,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/07/2017",1764,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/08/2016",1771,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/08/2017",1930,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/09/2016",2052,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/09/2017",1799,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/10/2016",174,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/10/2017",4818,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/11/2016",2139,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/11/2017",4000,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/12/2016",2203,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"01/12/2017",1963,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/01/2016",1516,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/01/2017",1785,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/01/2018",2090,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/02/2016",1913,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/02/2017",2394,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/02/2018",2194,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/03/2016",1873,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/03/2017",2218,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/03/2018",1864,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/04/2016",1735,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/04/2017",1783,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/04/2018",1908,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
"02/05/2016",1719,"oxnetdwp01.oxnet.nhs.uk","LIMS_PSS2","setspoct"
