"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/01/1980",5,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/1993",28,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/1994",1251,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/1995",908,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/1996",1332,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/1997",1633,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/1998",1336,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/1999",1436,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/2000",508,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/2001",413,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/2002",1069,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/2003",1388,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/2004",1423,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/01/2005",143,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/1994",5811,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/1995",7125,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/1996",6291,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/1997",1422,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/1998",1559,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/1999",7150,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/2000",2152,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/2001",1511,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/2002",4047,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/2003",1542,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/2004",1571,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/02/2005",2600,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/03/1994",5643,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/03/1995",6121,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/03/1996",6027,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/03/1997",1692,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/03/1998",1531,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/03/1999",6989,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/03/2000",2088,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/03/2001",1511,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
