"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/03/2018",3,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"01/04/2018",1,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"01/05/2018",40,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"01/06/2018",65,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"01/07/2018",2619,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"02/05/2018",50,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"02/06/2018",5,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"02/07/2018",11701,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"03/01/2018",1,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"03/04/2018",11,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"03/05/2018",62,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"03/06/2018",10,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"03/07/2018",10663,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"04/04/2018",6,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"04/05/2018",39,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"04/06/2018",125,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"04/07/2018",11841,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"05/04/2018",7,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"05/05/2018",13,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"05/06/2018",142,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"05/07/2018",10877,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"06/02/2018",9,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"06/04/2018",4,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"06/05/2018",10,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"06/06/2018",129,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"06/07/2018",9644,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"06/12/2017",5,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"07/03/2018",13,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"07/04/2018",10,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"07/05/2018",13,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"07/06/2018",143,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"07/07/2018",2419,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"08/04/2018",2,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"08/05/2018",73,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"08/06/2018",764,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
"08/07/2018",2580,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLRES_VIEW"
