ActivityDT,ActivityCount,SourceHost,SourceDatabase,SourceTable
13/02/1982,4,MICRO,default,GLRES_View
05/06/1986,2,MICRO,default,GLRES_View
16/03/1987,1,MICRO,default,GLRES_View
23/04/1987,6,MICRO,default,GLRES_View
17/05/1987,9,MICRO,default,GLRES_View
21/08/1987,5,MICRO,default,GLRES_View
04/10/1987,5,MICRO,default,GLRES_View
05/02/1988,1,MICRO,default,GLRES_View
21/07/1988,4,MICRO,default,GLRES_View
07/08/1988,1,MICRO,default,GLRES_View
11/11/1988,2,MICRO,default,GLRES_View
26/11/1988,2,MICRO,default,GLRES_View
04/12/1988,1,MICRO,default,GLRES_View
11/02/1989,1,MICRO,default,GLRES_View
18/02/1989,5,MICRO,default,GLRES_View
08/10/1989,2,MICRO,default,GLRES_View
31/03/1990,1,MICRO,default,GLRES_View
14/06/1990,1,MICRO,default,GLRES_View
19/09/1990,1,MICRO,default,GLRES_View
20/09/1990,1,MICRO,default,GLRES_View
18/10/1990,1,MICRO,default,GLRES_View
18/12/1990,1,MICRO,default,GLRES_View
09/04/1991,1,MICRO,default,GLRES_View
09/05/1991,2,MICRO,default,GLRES_View
24/01/1992,1,MICRO,default,GLRES_View
21/03/1992,1,MICRO,default,GLRES_View
05/04/1992,1,MICRO,default,GLRES_View
03/06/1992,1,MICRO,default,GLRES_View
13/09/1992,2,MICRO,default,GLRES_View
04/01/1993,5,MICRO,default,GLRES_View
23/01/1993,1,MICRO,default,GLRES_View
21/03/1993,1,MICRO,default,GLRES_View
20/05/1993,5,MICRO,default,GLRES_View
24/05/1993,26,MICRO,default,GLRES_View
25/05/1993,42,MICRO,default,GLRES_View
26/05/1993,63,MICRO,default,GLRES_View
27/05/1993,25,MICRO,default,GLRES_View
28/05/1993,50,MICRO,default,GLRES_View
31/05/1993,5,MICRO,default,GLRES_View
01/06/1993,34,MICRO,default,GLRES_View
02/06/1993,87,MICRO,default,GLRES_View
03/06/1993,74,MICRO,default,GLRES_View
04/06/1993,43,MICRO,default,GLRES_View
07/06/1993,66,MICRO,default,GLRES_View
08/06/1993,44,MICRO,default,GLRES_View
09/06/1993,71,MICRO,default,GLRES_View
10/06/1993,55,MICRO,default,GLRES_View
