"mapping_action","map_operation","source_host","source_schema","source_db","target_host","target_schema","target_db","table_name"
"clean_EPDS_onboard_non-ref","TRUNCATE+APPEND","OXNETDWP01","staging4","EPDS_PSS2","OXNETDWP01","raw4","EPDS_PSS2","ADDRESS"
"clean_EPDS_onboard_non-ref","TRUNCATE+APPEND","OXNETDWP01","staging","EPDS_PSS2","OXNETDWP01","raw","EPDS_PSS2","CONSULTANT_EPISODE"
"clean_EPDS_onboard_non-ref","TRUNCATE+APPEND","OXNETDWP01","staging","EPDS_PSS2","OXNETDWP01","raw","EPDS_PSS2","EPISODE_INDEX"
"clean_EPDS_onboard_non-ref","TRUNCATE+APPEND","OXNETDWP01","staging4","EPDS_PSS2","OXNETDWP01","raw4","EPDS_PSS2","PATIENT"
"clean_EPDS_onboard_non-ref","TRUNCATE+APPEND","OXNETDWP01","staging","EPDS_PSS2","OXNETDWP01","raw","EPDS_PSS2","PATIENT_CATEGORY"
"clean_EPDS_onboard_non-ref","TRUNCATE+APPEND","OXNETDWP01","staging","EPDS_PSS2","OXNETDWP01","raw","EPDS_PSS2","PATIENT_DIAGNOSIS"
"clean_EPDS_onboard_non-ref","TRUNCATE+APPEND","OXNETDWP01","staging","EPDS_PSS2","OXNETDWP01","raw","EPDS_PSS2","PATIENT_DIAGNOSIS_CODE"
"clean_EPDS_onboard_non-ref","TRUNCATE+APPEND","OXNETDWP01","staging","EPDS_PSS2","OXNETDWP01","raw","EPDS_PSS2","PATIENT_PROCEDURE"
"clean_EPDS_onboard_non-ref","TRUNCATE+APPEND","OXNETDWP01","staging","EPDS_PSS2","OXNETDWP01","raw","EPDS_PSS2","PROVIDER_SPELL"
"clean_EPDS_onboard_non-ref","TRUNCATE+APPEND","OXNETDWP01","staging","EPDS_PSS2","OXNETDWP01","raw","EPDS_PSS2","WARD_STAY"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - bloods","OXNETDWP01","raw","BloodTrack_ARCHIVE","vw_BloodStatus"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - bloods","OXNETDWP01","raw","BloodTrack_ARCHIVE","vw_BloodUnit"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - bloods","OXNETDWP01","raw","BloodTrack_ARCHIVE","vw_MasterPatientRecord"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - bloods","OXNETDWP01","raw","BloodTrack_ARCHIVE","vw_Patient"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - bloods","OXNETDWP01","raw","BloodTrack_ARCHIVE","vw_Transaction"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Antibiotics"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","ASA_score"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Bugs"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","CABG 2nd SSI site"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","CABG SSI site"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Consultants"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Discharge_dest"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Discontinue_reason"
