ActivityDT,ActivityCount,SourceHost,SourceDatabase,SourceTable
03/09/1977,4,SUGI,Microbiology,GLARK
22/11/1977,3,SUGI,Microbiology,GLARK
13/12/1978,1,SUGI,Microbiology,GLARK
22/04/1979,1,SUGI,Microbiology,GLARK
27/04/1979,1,SUGI,Microbiology,GLARK
08/06/1979,5,SUGI,Microbiology,GLARK
22/08/1979,1,SUGI,Microbiology,GLARK
31/08/1979,1,SUGI,Microbiology,GLARK
04/09/1979,4,SUGI,Microbiology,GLARK
11/10/1979,1,SUGI,Microbiology,GLARK
04/12/1979,1,SUGI,Microbiology,GLARK
09/12/1979,2,SUGI,Microbiology,GLARK
01/01/1980,5,SUGI,Microbiology,GLARK
12/01/1980,1,SUGI,Microbiology,GLARK
05/02/1980,1,SUGI,Microbiology,GLARK
20/03/1980,1,SUGI,Microbiology,GLARK
23/03/1980,1,SUGI,Microbiology,GLARK
24/04/1980,4,SUGI,Microbiology,GLARK
17/06/1980,1,SUGI,Microbiology,GLARK
26/06/1980,1,SUGI,Microbiology,GLARK
03/07/1980,1,SUGI,Microbiology,GLARK
07/07/1980,1,SUGI,Microbiology,GLARK
13/10/1980,2,SUGI,Microbiology,GLARK
14/04/1981,1,SUGI,Microbiology,GLARK
18/11/1982,1,SUGI,Microbiology,GLARK
17/02/1983,1,SUGI,Microbiology,GLARK
17/05/1983,1,SUGI,Microbiology,GLARK
06/06/1983,1,SUGI,Microbiology,GLARK
12/07/1983,1,SUGI,Microbiology,GLARK
10/10/1983,1,SUGI,Microbiology,GLARK
11/10/1983,2,SUGI,Microbiology,GLARK
22/11/1983,1,SUGI,Microbiology,GLARK
06/12/1983,1,SUGI,Microbiology,GLARK
24/03/1984,1,SUGI,Microbiology,GLARK
06/09/1984,1,SUGI,Microbiology,GLARK
26/10/1984,1,SUGI,Microbiology,GLARK
12/11/1984,1,SUGI,Microbiology,GLARK
26/11/1984,1,SUGI,Microbiology,GLARK
27/11/1984,1,SUGI,Microbiology,GLARK
21/12/1984,1,SUGI,Microbiology,GLARK
20/02/1985,1,SUGI,Microbiology,GLARK
27/09/1985,1,SUGI,Microbiology,GLARK
09/12/1985,5,SUGI,Microbiology,GLARK
02/04/1986,1,SUGI,Microbiology,GLARK
03/12/1986,1,SUGI,Microbiology,GLARK
13/01/1987,4,SUGI,Microbiology,GLARK
20/01/1987,1,SUGI,Microbiology,GLARK
13/04/1987,1,SUGI,Microbiology,GLARK
06/06/1987,1,SUGI,Microbiology,GLARK
12/01/1988,1,SUGI,Microbiology,GLARK
19/10/1988,4,SUGI,Microbiology,GLARK
21/10/1988,1,SUGI,Microbiology,GLARK
13/01/1989,1,SUGI,Microbiology,GLARK
23/02/1989,1,SUGI,Microbiology,GLARK
18/10/1989,1,SUGI,Microbiology,GLARK
10/11/1989,1,SUGI,Microbiology,GLARK
20/12/1989,1,SUGI,Microbiology,GLARK
17/01/1990,1,SUGI,Microbiology,GLARK
29/01/1990,1,SUGI,Microbiology,GLARK
28/02/1990,1,SUGI,Microbiology,GLARK
25/04/1990,2,SUGI,Microbiology,GLARK
17/05/1990,4,SUGI,Microbiology,GLARK
15/06/1990,4,SUGI,Microbiology,GLARK
18/08/1990,5,SUGI,Microbiology,GLARK
17/09/1990,1,SUGI,Microbiology,GLARK
17/10/1990,2,SUGI,Microbiology,GLARK
03/12/1990,1,SUGI,Microbiology,GLARK
01/04/1991,1,SUGI,Microbiology,GLARK
07/05/1991,4,SUGI,Microbiology,GLARK
25/06/1991,1,SUGI,Microbiology,GLARK
29/07/1991,4,SUGI,Microbiology,GLARK
03/08/1991,5,SUGI,Microbiology,GLARK
07/08/1991,2,SUGI,Microbiology,GLARK
16/09/1991,2,SUGI,Microbiology,GLARK
21/11/1991,5,SUGI,Microbiology,GLARK
30/12/1991,1,SUGI,Microbiology,GLARK
10/01/1992,4,SUGI,Microbiology,GLARK
24/03/1992,4,SUGI,Microbiology,GLARK
24/06/1992,5,SUGI,Microbiology,GLARK
12/07/1992,3,SUGI,Microbiology,GLARK
01/08/1992,1,SUGI,Microbiology,GLARK
28/09/1992,2,SUGI,Microbiology,GLARK
12/10/1992,4,SUGI,Microbiology,GLARK
01/11/1992,1,SUGI,Microbiology,GLARK
15/11/1992,4,SUGI,Microbiology,GLARK
28/11/1992,1,SUGI,Microbiology,GLARK
30/11/1992,1,SUGI,Microbiology,GLARK
01/01/1993,28,SUGI,Microbiology,GLARK
04/01/1993,5,SUGI,Microbiology,GLARK
06/01/1993,5,SUGI,Microbiology,GLARK
10/01/1993,2,SUGI,Microbiology,GLARK
12/01/1993,5,SUGI,Microbiology,GLARK
14/01/1993,18,SUGI,Microbiology,GLARK
15/01/1993,1,SUGI,Microbiology,GLARK
16/01/1993,1,SUGI,Microbiology,GLARK
17/01/1993,7,SUGI,Microbiology,GLARK
20/01/1993,4,SUGI,Microbiology,GLARK
22/01/1993,2,SUGI,Microbiology,GLARK
24/01/1993,5,SUGI,Microbiology,GLARK
05/02/1993,2,SUGI,Microbiology,GLARK
14/02/1993,5,SUGI,Microbiology,GLARK
04/03/1993,4,SUGI,Microbiology,GLARK
22/03/1993,16,SUGI,Microbiology,GLARK
23/03/1993,9,SUGI,Microbiology,GLARK
25/03/1993,3,SUGI,Microbiology,GLARK
28/03/1993,2,SUGI,Microbiology,GLARK
30/03/1993,2,SUGI,Microbiology,GLARK
31/03/1993,2,SUGI,Microbiology,GLARK
01/04/1993,2,SUGI,Microbiology,GLARK
02/04/1993,2,SUGI,Microbiology,GLARK
06/04/1993,5,SUGI,Microbiology,GLARK
07/04/1993,5,SUGI,Microbiology,GLARK
14/04/1993,1,SUGI,Microbiology,GLARK
17/04/1993,2,SUGI,Microbiology,GLARK
28/04/1993,2,SUGI,Microbiology,GLARK
29/04/1993,5,SUGI,Microbiology,GLARK
04/05/1993,1,SUGI,Microbiology,GLARK
07/05/1993,1,SUGI,Microbiology,GLARK
10/05/1993,10,SUGI,Microbiology,GLARK
11/05/1993,3,SUGI,Microbiology,GLARK
12/05/1993,2,SUGI,Microbiology,GLARK
13/05/1993,6,SUGI,Microbiology,GLARK
14/05/1993,4,SUGI,Microbiology,GLARK
15/05/1993,3,SUGI,Microbiology,GLARK
16/05/1993,13,SUGI,Microbiology,GLARK
17/05/1993,19,SUGI,Microbiology,GLARK
18/05/1993,17,SUGI,Microbiology,GLARK
19/05/1993,4,SUGI,Microbiology,GLARK
20/05/1993,6,SUGI,Microbiology,GLARK
21/05/1993,7,SUGI,Microbiology,GLARK
